,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
skip-3_non-skip-2_sigmod2,0.2178217821782178,0.3267326732673267,0.4356435643564356,0.4257425742574257,0.5742574257425742,0.599009900990099,0.6336633663366337,0.7227722772277227,0.7227722772277227,0.6831683168316832,0.6534653465346535,0.7227722772277227,0.698019801980198,0.7623762376237624,0.7425742574257426,0.7722772277227723,0.801980198019802,0.7326732673267327,0.7673267326732673,0.8118811881188119,0.7821782178217822,0.7623762376237624,0.8366336633663366,0.8168316831683168,0.8316831683168316,0.801980198019802,0.7673267326732673,0.8613861386138614,0.8168316831683168,0.8316831683168316
skip-4_non-skip-2_sigmod,0.0,0.0049504950495049,0.0049504950495049,0.0,0.0,0.0,0.0049504950495049,0.0,0.0,0.0049504950495049,0.0,0.0,0.0,0.0049504950495049,0.0,0.0,0.0,0.0049504950495049,0.0,0.0049504950495049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skip-3_non-skip-2_sigmod_attempt_2,0.3366336633663366,0.4158415841584158,0.495049504950495,0.5643564356435643,0.5643564356435643,0.6732673267326733,0.7079207920792079,0.7425742574257426,0.698019801980198,0.7722772277227723,0.7524752475247525,0.8366336633663366,0.7673267326732673,0.8316831683168316,0.8168316831683168,0.7821782178217822,0.801980198019802,0.8168316831683168,0.7821782178217822,0.8514851485148515,0.7970297029702971,0.7970297029702971,0.7970297029702971,0.7772277227722773,0.7920792079207921,0.7920792079207921,0.8465346534653465,0.8415841584158416,0.8613861386138614,0.7920792079207921
skip-3_non-skip-3_sigmod_attempt_1,0.2574257425742574,0.3564356435643564,0.3910891089108911,0.4702970297029702,0.5396039603960396,0.599009900990099,0.6485148514851485,0.6435643564356436,0.6188118811881188,0.6039603960396039,0.6584158415841584,0.6782178217821783,0.698019801980198,0.6683168316831684,0.7623762376237624,0.7277227722772277,0.7673267326732673,0.7227722772277227,0.7574257425742574,0.7772277227722773,0.7722772277227723,0.7722772277227723,0.7524752475247525,0.7623762376237624,0.7524752475247525,0.7772277227722773,0.7772277227722773,0.801980198019802,0.7673267326732673,0.8217821782178217
skip-4_non-skip-3_sigmod_attempt_1,0.0643564356435643,0.1287128712871287,0.2227722772277227,0.3465346534653465,0.3564356435643564,0.3316831683168317,0.4702970297029702,0.5198019801980198,0.6089108910891089,0.5148514851485149,0.5643564356435643,0.6089108910891089,0.6584158415841584,0.6089108910891089,0.6881188118811881,0.6435643564356436,0.6782178217821783,0.6683168316831684,0.7178217821782178,0.6881188118811881,0.7524752475247525,0.6683168316831684,0.6881188118811881,0.7673267326732673,0.8118811881188119,0.7425742574257426,0.7574257425742574,0.7425742574257426,0.7376237623762376,0.7673267326732673
skip-2_non-skip-3_sigmod_attempt_1,0.198019801980198,0.3811881188118812,0.3910891089108911,0.4405940594059406,0.5643564356435643,0.5643564356435643,0.5346534653465347,0.6782178217821783,0.6435643564356436,0.7128712871287128,0.7574257425742574,0.7623762376237624,0.7079207920792079,0.7277227722772277,0.7178217821782178,0.7326732673267327,0.7821782178217822,0.7722772277227723,0.8316831683168316,0.806930693069307,0.7623762376237624,0.8217821782178217,0.7970297029702971,0.806930693069307,0.8168316831683168,0.7425742574257426,0.7574257425742574,0.7524752475247525,0.8168316831683168,0.7970297029702971
skip-1_non-skip-3_sigmod_attempt_1,0.0198019801980198,0.0594059405940594,0.1386138613861386,0.1831683168316831,0.2425742574257425,0.3118811881188119,0.3069306930693069,0.4108910891089108,0.396039603960396,0.3861386138613861,0.3712871287128713,0.4405940594059406,0.4554455445544554,0.4356435643564356,0.495049504950495,0.5297029702970297,0.5396039603960396,0.5445544554455446,0.5445544554455446,0.5396039603960396,0.5445544554455446,0.6188118811881188,0.6188118811881188,0.594059405940594,0.6485148514851485,0.6435643564356436,0.6485148514851485,0.6534653465346535,0.6683168316831684,0.693069306930693
skip-2_non-skip-2_sigmod_attempt_1,0.1386138613861386,0.2227722772277227,0.3366336633663366,0.3415841584158416,0.3415841584158416,0.400990099009901,0.4257425742574257,0.495049504950495,0.495049504950495,0.504950495049505,0.504950495049505,0.5247524752475248,0.5643564356435643,0.5495049504950495,0.6435643564356436,0.6237623762376238,0.6237623762376238,0.6237623762376238,0.6336633663366337,0.6237623762376238,0.6683168316831684,0.6435643564356436,0.6336633663366337,0.6435643564356436,0.6881188118811881,0.7079207920792079,0.7128712871287128,0.6831683168316832,0.7227722772277227,0.7227722772277227
skip-3_non-skip-1_sigmod_attempt_1,0.3613861386138614,0.4504950495049505,0.4900990099009901,0.5792079207920792,0.6039603960396039,0.6336633663366337,0.5841584158415841,0.7029702970297029,0.6782178217821783,0.7277227722772277,0.6633663366336634,0.7277227722772277,0.7326732673267327,0.698019801980198,0.7425742574257426,0.7079207920792079,0.7277227722772277,0.7871287128712872,0.7574257425742574,0.7326732673267327,0.7623762376237624,0.7227722772277227,0.7722772277227723,0.7673267326732673,0.801980198019802,0.806930693069307,0.7772277227722773,0.7673267326732673,0.8366336633663366,0.801980198019802
skip-3_non-skip-0_sigmod_attempt_1,0.8366336633663366,0.8564356435643564,0.8613861386138614,0.8514851485148515,0.8465346534653465,0.9306930693069309,0.8910891089108911,0.9257425742574258,0.9108910891089108,0.8910891089108911,0.9257425742574258,0.8514851485148515,0.8960396039603961,0.900990099009901,0.8960396039603961,0.8960396039603961,0.8861386138613861,0.8910891089108911,0.9306930693069309,0.9504950495049505,0.9702970297029704,0.915841584158416,0.9504950495049505,0.915841584158416,0.9554455445544554,0.9603960396039604,0.9306930693069309,0.9455445544554456,0.9653465346534652,0.9504950495049505
skip-3_non-skip-0_sigmod_attempt_1,0.0,0.0,0.0,0.0049504950495049,0.0,0.0049504950495049,0.0,0.0,0.0,0.0,0.0,0.0049504950495049,0.0,0.0,0.0,0.0049504950495049,0.0,0.0049504950495049,0.0,0.0049504950495049,0.0,0.0,0.0,0.0049504950495049,0.0,0.0,0.0,0.0,0.0,0.0
skip-3_non-skip-1_sigmod_attempt_2,0.9801980198019802,0.9801980198019802,0.9653465346534652,0.9801980198019802,0.9851485148514852,0.9752475247524752,0.9851485148514852,0.99009900990099,0.9653465346534652,0.9752475247524752,0.9801980198019802,0.9801980198019802,0.9702970297029704,0.9752475247524752,0.9752475247524752,0.9752475247524752,0.99009900990099,0.9752475247524752,0.9702970297029704,0.9752475247524752,0.99009900990099,0.9851485148514852,0.9702970297029704,0.9653465346534652,0.99009900990099,0.9455445544554456,0.9702970297029704,0.99009900990099,0.9702970297029704,0.9801980198019802
skip-3_non-skip-2_sigmod_attempt_3,0.2227722772277227,0.3465346534653465,0.5198019801980198,0.5544554455445545,0.5841584158415841,0.6138613861386139,0.6534653465346535,0.7178217821782178,0.7277227722772277,0.6881188118811881,0.7425742574257426,0.7326732673267327,0.698019801980198,0.7227722772277227,0.7871287128712872,0.8118811881188119,0.801980198019802,0.7920792079207921,0.7821782178217822,0.7821782178217822,0.8366336633663366,0.7772277227722773,0.8316831683168316,0.7970297029702971,0.8465346534653465,0.801980198019802,0.8267326732673267,0.7821782178217822,0.7722772277227723,0.7920792079207921
