,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,Unnamed: 0
skip-0_non-skip-1_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.2872735635907042,-0.4432553637261484,-0.8134377516952216,-0.2932776049071667,-0.2308211899271198,-0.2716389064695321,-0.1715580891160404,-0.1696450009065515,-0.09446289025101,-0.1424631932202507,-0.0664429278934703,-0.0231863681007834,-0.0427992472461625,0.0462889601202572,0.173374758047216,-0.423786134112115,0.2450810448796141,0.0711072169098199,0.227620007945042,0.1403362482201819,0.4177288985719867,0.3489687431092356,-0.3527003035825841,0.3291288357154995,0.4531456793055815,0.5084536753448785,0.4933087673841738,0.5189111828804016,0.3721259727197535,0.5442724835638907,0.4482606988327176,0.2595126441880768,0.4829435371885113,0.4002824741251328,0.2026971940900765,0.2697435769380307,0.2537592801393247,0.2114412492396784,0.5026494708715701,0.4021978179613749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-2_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.0645513709853677,0.1105421442611544,0.1191375699697756,0.1101588571772855,-0.0832751814056845,0.0283424480288636,-0.3810670761501087,0.1586169051189048,0.2061017015401055,-0.2901034027922387,0.0290539241304584,-0.0097591047193489,0.284683907733244,0.2315907232901629,0.0766012575112137,0.3506924030827541,0.3680560939452227,0.3786986201417212,-0.1529260067378773,0.4602685488906561,0.3873385307835598,0.4835682394457798,0.3782587834433013,0.4685574372609456,-1.4235100360477673,0.5375578193103566,0.3689664777587442,0.1918077655867034,0.545001809503518,0.1562989482692643,0.5807609149053985,0.4727040505876728,0.4812888351141238,0.2215962339850033,0.5486034143204782,0.5752442502507976,-0.8311575814789417,0.4792896906534831,0.5877489143726873,0.4444580907915152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-3_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.4198697209358215,0.0800228831814784,0.0812046492800993,0.2253673322060529,0.1789255153899099,0.2625721973531386,0.0546739358527987,0.3532502475906821,0.3789072691225538,0.1637510435253966,0.3650642095827588,0.2147964122248631,0.459537315602396,0.4670611993939269,0.3607736849317364,0.3657403074058832,0.3967851949673073,0.5090023524620954,0.5636587914298562,0.5532055952969719,0.5361344533808091,0.538392257456686,0.4085446105283849,0.101807553394168,0.4581718503260145,0.0235528279753292,0.4834879858821046,0.362325180979336,0.4698266632416669,0.5238287881308911,0.5327126337032692,0.5193562437506283,0.554738043570051,0.5607293248176575,0.4076148867607116,0.4585631852056466,0.0309733958805308,0.5209069310450086,0.0112322101406022,0.320360962082358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-4_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.3110042938999101,-0.035775904561959,-0.3688075659321804,0.004127771246667,0.0287294913740719,0.1146724025408427,0.1861880234643524,0.2112983102891959,-0.0283669876117332,0.2760006726956835,0.2538526654243469,0.2643800681712581,0.3543343625816644,0.1809721764396218,0.3866860901608187,0.487188598688911,0.4847984699641957,0.346037536275153,0.4522084582085703,0.4985823631286621,0.2379052113084232,0.4317360274931964,0.5192641697677911,0.2828838907036127,0.4761992295583089,0.4847995393416461,0.3554753813089109,0.504115552294488,0.4727413210214353,0.5160632390601962,0.111245663727031,0.2308813169890759,0.4993892089993346,0.4137933429549722,0.1103874713766808,0.2050885067266576,0.441586670922298,0.3004033869388057,0.1438222258698706,0.5165202243655336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-1_dropout:False_reduction:True_R2_MSELoss_DEMORUN,-3969.095437508003,-4332.959033031089,-4140.356786248731,-3134.1303987362808,-2492.129091015049,-3241.1183573510134,-3133.6837744479085,-2957.873837134417,-3345.549337375398,-2196.5023928658634,-1824.7864005460456,-1969.2967337591967,-1020.8771403128026,-1080.8029491048233,-1113.0407724614238,-903.2651295638552,-1108.8979721373205,-1745.5290394904566,-537.4095334176924,-367.7024501585493,-746.3250199077177,-535.2169348726086,-482.1189054098784,-371.2100200641389,-295.74689496498485,-207.4439660287371,-226.0752443636165,-179.34025098997003,-226.1513596106978,-118.74193260833329,-140.8185484830071,-91.12232414530772,-76.38925790319256,-32.85502216044594,-49.71883464911405,-9.14625273615706,-13.900021203592711,-8.84886642297109,-4.562485604893928,-4.532795258596832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-2_dropout:False_reduction:True_R2_MSELoss_DEMORUN,-816.6819044398327,-447.4523722517724,-860.7551408889246,-1121.0147106764364,-782.5498806904344,-266.9533372626585,-469.6052945092613,-561.9086887637774,-595.2769102746365,-416.8748839602751,-817.1326900884217,-302.38210715499577,-579.7295389864959,-581.258382569341,-302.7013357795921,-231.2152649748559,-238.80975823659523,-274.45230583583606,-309.185969432195,-302.2482969562213,-241.80963209096123,-234.27835160610724,-212.81782877678964,-158.454777461641,-256.3614834804161,-134.96773459747726,-184.56803320202167,-183.1975350496816,-80.39830969595441,-123.48332954621785,-191.49269357615827,-112.20503456452312,-50.84852100587359,-50.55196234174803,-41.62474314956104,-37.33837265243717,-32.67376655340195,-26.48927938470653,-17.41184332557753,-31.078824718793232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-3_dropout:False_reduction:True_R2_MSELoss_DEMORUN,-251.69844617329392,-116.36725149785772,-158.85832351679895,-68.54972188262379,-98.85231458907032,-48.68975881151125,-104.80911371871537,-161.5669201577411,-113.18362927203084,-129.1473127603531,-63.36973890954373,-109.75407554004708,-103.34239832793963,-126.93175148145824,-63.305750853875104,-39.53502134598938,-43.558790437146726,-17.38223784343869,-56.250438297496125,-129.4565919871424,-60.85465130034615,-23.48101945601257,-30.09788562620388,-33.97273022637648,-57.54437348421882,-138.555474152752,-25.410734713077545,-38.26130748145721,-40.91212900596506,-20.482264572498845,-21.35713496862673,-22.445738901110257,-24.822251990729686,-14.18485458691915,-33.53077238681269,-24.22482933250128,-19.382812273268605,-9.891358596437115,-35.4173264187925,-10.925225352539735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-4_dropout:False_reduction:True_R2_MSELoss_DEMORUN,-4.629211651343925,-11.86704538148992,-10.59050982839921,-7.3147300212991,-45.64455903160806,-7.389584773895788,-9.564040662026873,-3.892460727224163,-5.783532731673297,-8.698635728920207,-4.7985258371222255,-6.415582060813904,-7.427657403197943,-4.9362872698727776,-11.161905369337868,-5.136607396836374,-14.66924782594045,-12.566641209172268,-4.688428364548028,-8.895954489707947,-12.85780618237514,-2.6365247135068857,-14.953054713267909,-5.160916604247748,-5.792244035823672,-9.893773764956231,-3.427089273929596,-3.220245226925494,-1.8160267332020927,-3.9335027570817984,-3.0006354077189576,-3.749895148417529,-3.0131127577201995,-10.20391999506483,-6.093977583389656,-6.269180286164377,-1.6587921158940184,-5.015812551274019,-2.040578753340478,-3.957549701718723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-1_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.1208722509589849,0.0629849959822262,-0.692296544710795,0.0596537683524337,-0.1955172489671146,0.1695317859743155,0.1921055574043124,0.1414017174758163,0.2729887868843826,0.2389431338684231,0.3200796854262258,0.1254211103214937,0.3932438808328965,0.3281463443064222,0.3919560991081537,-0.2357190052668253,0.2038160597576814,0.4291381193142311,0.5111883913769442,0.4356160304125617,0.3459639409009148,0.5079994236721712,0.3924584341984169,-0.1933607996678819,0.5271109938621521,0.5303728650597965,-0.7517777587853226,0.4804223881048314,0.4231288468136507,0.0723970824596928,0.4707168434180465,-0.5659487901949415,0.1592236698842516,-0.6723350438417173,0.0908076096983517,0.5004638141276789,0.445613330485774,0.5568915138057634,0.5345744221818214,0.5526731890790603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-2_dropout:False_reduction:False_R2_MSELoss_DEMORUN,-0.3547843145389183,-0.3738489267872829,-1.2307630204686932,-0.4613950205784218,-0.0285979497666452,-0.0330196642408184,-0.0904957815712573,0.2121027988546034,0.244499358476377,0.0015933314959208,0.1767797025979734,-0.159709049206154,0.0817745690252266,0.3557378415967904,0.2714149110457476,0.0486307997329562,0.4007567494523291,-0.1940095868765139,0.4641223573217205,0.3930400189231424,0.4916936603246951,0.3966608035798166,0.4386250002711427,0.5417640922116298,0.328528248796276,0.5580124282369426,0.4691058888154871,0.2455676314877528,0.5833994851392859,0.5360845198818281,0.5532266684606963,0.1848888642647687,-0.0911743687648399,-0.105915532392614,0.5587208469708761,0.417883811043758,0.4199290801497066,0.5552939188246634,0.5111226462850383,0.2465139405400145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
