,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
skip-1_non-skip-3_dropout:False_reduction:False_R2Loss,tensor(-0.0365),tensor(-0.3212),tensor(0.0057),tensor(0.0568),tensor(0.0867),tensor(-0.0219),tensor(0.1895),tensor(-0.0599),tensor(0.0698),tensor(0.1450),tensor(0.1597),tensor(0.2749),tensor(0.2880),tensor(0.2272),tensor(0.1233),tensor(0.0080),tensor(0.2600),tensor(0.3670),tensor(0.4128),tensor(0.4569),tensor(0.2670),tensor(0.4859),tensor(0.4494),tensor(0.3261),tensor(0.4201),tensor(0.5053),tensor(0.3155),tensor(0.5629),tensor(0.5273),tensor(0.4780),tensor(0.5305),tensor(0.5364),tensor(0.5604),tensor(0.1704),tensor(0.4524),tensor(0.0218),tensor(0.5903),tensor(0.5800),tensor(0.5319),tensor(0.5518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-3_non-skip-4_dropout:False_reduction:False_R2Loss,tensor(-0.3442),tensor(-0.1962),tensor(-0.1825),tensor(-0.2800),tensor(-0.0266),tensor(-0.1258),tensor(-0.0075),tensor(0.0211),tensor(-0.0035),tensor(0.1354),tensor(0.1508),tensor(0.1642),tensor(0.2906),tensor(0.2857),tensor(0.2518),tensor(0.3082),tensor(0.3030),tensor(0.4188),tensor(0.3748),tensor(0.4528),tensor(0.4885),tensor(0.2322),tensor(0.4539),tensor(0.5018),tensor(0.4462),tensor(0.4919),tensor(0.4972),tensor(0.5052),tensor(0.4684),tensor(0.4473),tensor(0.4582),tensor(0.4862),tensor(0.4720),tensor(0.3047),tensor(0.5117),tensor(0.4796),tensor(0.5257),tensor(0.3821),tensor(0.5533),tensor(0.4362),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-1_dropout:False_reduction:True_R2Loss,tensor(-3817.2634),tensor(-5643.9185),tensor(-5493.1689),tensor(-4536.3623),tensor(-3699.4363),tensor(-5138.2344),tensor(-2356.7441),tensor(-2085.6548),tensor(-3693.7380),tensor(-1805.3323),tensor(-3049.7107),tensor(-2025.6859),tensor(-2801.5632),tensor(-1325.3636),tensor(-2558.0645),tensor(-928.6365),tensor(-1848.8160),tensor(-1425.3716),tensor(-1105.5289),tensor(-1360.1066),tensor(-1141.5988),tensor(-991.6869),tensor(-1065.2010),tensor(-672.1932),tensor(-953.4397),tensor(-863.0997),tensor(-502.0952),tensor(-465.7156),tensor(-443.1884),tensor(-273.5029),tensor(-426.3595),tensor(-221.1071),tensor(-250.9391),tensor(-228.0591),tensor(-177.4473),tensor(-205.1276),tensor(-120.4333),tensor(-106.0644),tensor(-113.4338),tensor(-101.3166),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-2_dropout:False_reduction:True_R2Loss,tensor(-384.6983),tensor(-403.2303),tensor(-730.5300),tensor(-744.2077),tensor(-585.3151),tensor(-344.6470),tensor(-293.8700),tensor(-613.0495),tensor(-469.2444),tensor(-483.0668),tensor(-332.4080),tensor(-185.6474),tensor(-408.9094),tensor(-248.5813),tensor(-255.4489),tensor(-206.8541),tensor(-143.6140),tensor(-197.4817),tensor(-156.1282),tensor(-119.6154),tensor(-242.4935),tensor(-125.1735),tensor(-122.1979),tensor(-105.0173),tensor(-145.4035),tensor(-94.6141),tensor(-78.8514),tensor(-33.8519),tensor(-54.1933),tensor(-66.6296),tensor(-58.7128),tensor(-68.4542),tensor(-53.7496),tensor(-24.0881),tensor(-23.9482),tensor(-21.6166),tensor(-25.8378),tensor(-22.0252),tensor(-23.2152),tensor(-19.2769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-3_dropout:False_reduction:True_R2Loss,tensor(-210.2994),tensor(-119.9240),tensor(-120.3817),tensor(-99.2106),tensor(-287.1134),tensor(-152.2414),tensor(-149.6523),tensor(-72.7772),tensor(-68.5811),tensor(-77.6202),tensor(-113.2044),tensor(-56.9714),tensor(-190.9893),tensor(-29.4828),tensor(-68.8423),tensor(-124.8709),tensor(-89.2414),tensor(-31.4057),tensor(-30.8765),tensor(-69.6475),tensor(-50.4529),tensor(-56.9727),tensor(-53.4396),tensor(-42.3647),tensor(-60.3255),tensor(-16.7357),tensor(-51.2604),tensor(-31.6535),tensor(-13.7283),tensor(-28.6337),tensor(-18.2566),tensor(-19.5236),tensor(-37.0630),tensor(-25.1366),tensor(-43.6559),tensor(-8.8432),tensor(-15.5722),tensor(-20.5493),tensor(-14.0097),tensor(-5.5737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-4_dropout:False_reduction:True_R2Loss,tensor(-30.5339),tensor(-11.5710),tensor(-9.9676),tensor(-8.6178),tensor(-7.3604),tensor(-8.0691),tensor(-5.6035),tensor(-5.3108),tensor(-14.2347),tensor(-10.1741),tensor(-13.3351),tensor(-11.3049),tensor(-10.5296),tensor(-7.9996),tensor(-11.9952),tensor(-6.7659),tensor(-16.3133),tensor(-4.1690),tensor(-22.9149),tensor(-9.2877),tensor(-15.2793),tensor(-5.8948),tensor(-10.0557),tensor(-5.5944),tensor(-4.1622),tensor(-3.0430),tensor(-13.6719),tensor(-8.5966),tensor(-3.7328),tensor(-9.7647),tensor(-12.3251),tensor(-5.0423),tensor(-4.5963),tensor(-4.7673),tensor(-1.9957),tensor(-3.9609),tensor(-1.7015),tensor(-5.9696),tensor(-3.2952),tensor(-4.9459),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-2_non-skip-1_dropout:False_reduction:False_R2Loss,tensor(-0.1962),tensor(-0.0779),tensor(-0.1801),tensor(-0.6974),tensor(0.1098),tensor(0.0763),tensor(0.1810),tensor(0.0610),tensor(-0.3203),tensor(0.1271),tensor(0.3372),tensor(0.3457),tensor(0.3880),tensor(0.1904),tensor(0.4195),tensor(0.2496),tensor(0.2848),tensor(0.4216),tensor(0.3834),tensor(0.4237),tensor(0.4677),tensor(0.5776),tensor(0.4937),tensor(0.3430),tensor(0.3896),tensor(0.3707),tensor(0.5755),tensor(0.5816),tensor(0.5485),tensor(0.4677),tensor(-0.3288),tensor(0.5490),tensor(0.5829),tensor(0.5500),tensor(0.5784),tensor(0.5798),tensor(0.4037),tensor(0.3954),tensor(0.4378),tensor(0.3442),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-2_non-skip-2_dropout:False_reduction:False_R2Loss,tensor(0.1009),tensor(0.0729),tensor(-0.0046),tensor(0.1396),tensor(0.0491),tensor(0.0904),tensor(0.1546),tensor(0.1971),tensor(0.1816),tensor(-0.0901),tensor(0.0885),tensor(0.1944),tensor(0.2290),tensor(-0.1435),tensor(0.2686),tensor(0.2251),tensor(0.1410),tensor(0.2327),tensor(0.3362),tensor(0.3165),tensor(0.2145),tensor(0.3546),tensor(0.3846),tensor(0.3849),tensor(0.3852),tensor(0.4616),tensor(0.1275),tensor(0.4839),tensor(0.2378),tensor(0.4669),tensor(0.5298),tensor(0.5166),tensor(0.5384),tensor(-0.2150),tensor(0.4180),tensor(0.5367),tensor(0.3327),tensor(0.3211),tensor(0.5338),tensor(0.5593),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-2_non-skip-3_dropout:False_reduction:False_R2Loss,tensor(0.1018),tensor(0.1241),tensor(0.1411),tensor(0.1714),tensor(0.1822),tensor(0.1980),tensor(0.2404),tensor(0.0147),tensor(0.3276),tensor(-0.1888),tensor(0.3496),tensor(0.3723),tensor(0.3808),tensor(0.2304),tensor(0.2449),tensor(0.4160),tensor(0.4324),tensor(0.3425),tensor(0.3461),tensor(0.4513),tensor(0.4777),tensor(0.4567),tensor(0.4477),tensor(0.4964),tensor(0.3775),tensor(0.5080),tensor(0.5638),tensor(0.4839),tensor(0.4925),tensor(0.5471),tensor(0.5446),tensor(0.5101),tensor(0.4844),tensor(0.5413),tensor(0.5663),tensor(0.5336),tensor(0.1891),tensor(0.5676),tensor(0.3164),tensor(0.5821),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-3_non-skip-3_dropout:False_reduction:False_R2Loss,tensor(-0.1359),tensor(-0.1584),tensor(-0.0063),tensor(-0.0257),tensor(-0.2703),tensor(0.0171),tensor(-0.0277),tensor(0.1594),tensor(0.2746),tensor(-0.0167),tensor(0.2562),tensor(0.0742),tensor(0.2117),tensor(0.3795),tensor(0.4468),tensor(0.4967),tensor(0.4872),tensor(0.5333),tensor(0.3755),tensor(0.5084),tensor(0.4811),tensor(0.4900),tensor(0.4553),tensor(0.5723),tensor(0.5309),tensor(0.2308),tensor(0.5598),tensor(0.3756),tensor(0.5137),tensor(0.1212),tensor(0.5752),tensor(0.5637),tensor(0.0674),tensor(0.5531),tensor(0.5707),tensor(0.3062),tensor(0.5809),tensor(0.5144),tensor(0.5611),tensor(0.5494),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
