,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
skip-2_non-skip-1_dropout:False_reduction:True_MSE,-5.202244173028204,-5.110202313437767,-5.3123029403259086,-5.271978571548012,-5.894972438938299,-4.524889477773477,-5.347465324063639,-12.893609318963838,-8.0010482609445,-5.562393799119368,-5.578731947380972,-7.190516865065932,-5.059366477324049,-11.073321573384522,-6.894110681891964,-12.951991449355106,-6.384907845818247,-5.635831089985056,-6.999957762539571,-7.61795814941565,-26.864998949774044,-6.422166782217178,-10.726092216125329,-6.965068643122155,-17.849076865693632,-5.926426886063522,-6.3943873637081445,-8.145159081302252,-17.625671187877074,-7.882218698260067,-11.468872073026189,-6.326625727652729,-9.477125774018818,-42.9087647165186,-15.1515590780985,-13.797588475044634,-17.524947391160417,-17.40917210613987,-24.28409103688961,-38.41973944995407,
skip-2_non-skip-2_dropout:False_reduction:True_MSE,-11.163219391354476,-20.19759179861437,-24.29193012515819,-869.634367241279,-5.626462389046782,-5.816366209411632,-6.677137131318314,-34.122915655618336,-11.042139634957364,-9.345578013792757,-187.72058085888293,-12.621251770202289,-39.57432792682056,-43.86393310623429,-7.06689663695835,-12.445650232771104,-27.616304551021223,-21.36381069507992,-135910.79469423363,-12.864483498004557,-283657.9935388278,-50.02620054429889,-25.35744890226664,-236.451758401241,-23.829537199965145,-72.64119553231308,-192.6731896525072,-111.4893244456372,-258.4664124583907,-95.07523915747224,-5048.629123940663,-178.91231918002407,-171.8441467178607,-44.22621977764271,-310.3003914893933,-91.14676443512715,-88.51024481584525,-2895.315375753095,-176.185565620047,-100.9442540346234,
skip-2_non-skip-3_dropout:False_reduction:True_MSE,-24.707003996934123,-507.4383006390244,-357.1294398760256,-300.30727898242134,-51.10769584992218,-56.71072589455404,-60.19929546935758,-86626.56996505249,-212666.2400192828,-3525.1481537420373,-225.3529534118253,-292.5232850078048,-176.3980058301249,-3334.604895148668,-196971.55085625697,-1681.075139445845,-63.44570596050031,-2123.036438158514,-444.644549273319,-122.15880588631724,-221.05504334899595,-4337.197427763282,-719.2242478646127,-7992862772256.461,-30622028207043.49,-1409.1022681121285,-2332.613193651812,-4657.9592283015145,-225.916974154232,-692.1708497667568,-559.1385020015789,-29097.131737016767,-263.7339421045151,-33842.474166755615,-92.03449873912372,-764.4883817773022,-677.1870242429061,-1956.8333237543784,-1670.208336074391,-365.36548019646807,
skip-2_non-skip-4_dropout:False_reduction:True_MSE,-114940.60029158051,-2797.220129619628,-194675.43933598828,-5106.923581359236,-5589.461681857338,-1346075467304.189,-2623.7530890477424,-14022.007887906742,-54056.92334364056,-6378.311519370194,-675.0028729125496,-379619.74725005263,-12605565797988.48,-1276.5910277146431,-24509607.09254144,-12937.884316644038,-77928.42200820406,-1220.2177906539264,-3011.7059968853523,-4088661.9618973695,-11544.231215618764,-8302853155407.838,-1407.7834679123478,-286858.75312238134,-3483461982836.864,-8374042886215.727,-64074.78799277704,-33108.62091787269,-4642.631081561525,-39188.71918027491,-14679.605219564142,-1368779169075.6926,-327974.6870638475,-92743.27905403018,-1318.086356310628,-2603.750614144801,-1137096.87666106,-12444790181764.531,-30855.12190447469,-29822.11560027738,
skip-3_non-skip-1_dropout:False_reduction:False_MSE,-53.101830115418046,-55.79816281480501,-59.63385035542397,-3.954034894086594,-3.436018822343532,-2.148904967455443,-1.5991898046132094,-10.937927567106447,-1.6002721659301278,-1.1758950410721334,-0.7324949758359848,-38.62665212271181,-1.310556824918089,-0.5570594217895902,-0.1157458187741142,-1.3909291913254105,-0.2471337041324352,-0.1192242042224191,-2.8490672863972315,-0.2190707177859216,0.1154146751538403,-2.215795769847104,-0.003478523196097,-0.475253049455272,-0.4774806080297333,0.062275286111006,0.0328391434978828,0.1508436142738545,-1.14206909179663,-0.3398739815664598,0.1289044792759816,0.1244209495206698,0.1547035009370525,0.1602646473197563,0.043129043461288,-0.0472448078425694,-0.1678079427237335,0.0440380061801799,-0.521470377078116,-6.308578237124094,
skip-3_non-skip-2_dropout:False_reduction:False_MSE,-989.8941089085696,-52.98271566465406,-51.90099779519782,-81.3704623826123,-12.924858666711138,-40.701653412023695,-386.3889687113692,-22.99441243958905,-23.33260189188695,-56.525764769719686,-9.157569025432172,-28.33152385444998,-23.02285354607874,-4.049302512092204,-3.2692728247807463,-6.814498199546362,-2.7604276621814,-3.773014043015178,-3.16639230183254,-4.063491130655001,-1.7004860169599674,-3.229158194659288,-1.4350315163496,-0.8754468538137508,-0.9707699123376556,-0.6765439903637749,-1.1588079283780448,-0.3610374302932253,-0.5693781950134568,-0.213091969910541,-0.4335991458430588,-0.1597412196388338,-0.4646482968290621,-0.3071269137165084,-0.0998546850138906,-1.0158859189296634,-0.0602644463685771,0.0497510354281934,-0.0397461734302029,-0.0083934931499607,
skip-3_non-skip-3_dropout:False_reduction:False_MSE,-162.81918086032465,-74.87205134487827,-46.79520553213779,-144.60457812940888,-79.47071232714026,-8.550854680279407,-87.91041719944049,-8.983261646610101,-4.323783657890406,-10.04943344518169,-14.16795047898126,-24.408673777983143,-12.238929644535608,-2.766702871848165,-13.420719265583466,-4.559175536842439,-2.30435789839253,-3.02275318197275,-2.1085014190162865,-1.3943714454982372,-0.9218941348633488,-0.8583483370951525,-0.7408289550555736,-0.7511094779530492,-0.579144854829672,-0.3826464806647339,-1.042584113183926,0.0557586365738618,-0.4247944303300561,-0.1591385736935612,-1.2812652781688405,-0.1667770743379636,-0.3568916588054909,-0.0101457460860051,-0.1613646372651162,-0.0495517078313115,-0.1289084328375234,0.0935795837223198,0.1805016657240734,0.155323672337016,
skip-3_non-skip-3_dropout:False_reduction:False_MSE,-58.7234261529868,-58.299522953873776,-5.651543102911831,-13.64814499640664,-14.787221033752708,-14.738816074398851,-3.981985999751682,-5.07192454089706,-6.811264795532754,-13.053008316436918,-6.454636792660097,-3.5099861444565232,-2.7692947969609287,-6.687301326833969,-4.82136493719902,-3.16702176419516,-4.234500277327526,-1.623187479146578,-3.3396301953409333,-3.647366973629591,-1.7732376049128873,-1.1409345888407043,-1.1092814610694886,-1.5670156782838889,-0.966728483144755,-1.6630626384489435,-2.214182546223741,-1.1774318642268051,-0.9478851315192108,-1.7676496721749204,-0.624261849582785,-0.3136501889282288,-1.4068496851289682,-0.3807141915221644,-0.1520022307015477,-0.3802366335821993,-0.3105668917959201,-0.8256953060960055,-0.2205794572945806,-0.2573612403852925,
skip-3_non-skip-1_dropout:False_reduction:True_MSE,-4.919902595160101,-13.966371888399586,-29.181464243877567,-4.925250731919799,-4.981780327382023,-5.103176589613828,-4.81181086130828,-5.244673711942662,-5.896980077323087,-32.35880258122178,-6.3171365242440665,-13.276382990985026,-9.120728666952536,-5.551478185944137,-19.19299220482981,-5.7005774040000805,-12.089962272188892,-11.124954254266257,-9.04542447984804,-9.179144737962158,-8.717070152890024,-20.89303825261482,-11.815575260695342,-5.933596149984457,-15.673477619356104,-6.501640777493574,-7.849531187217534,-8.084131071629244,-6.526608424379412,-12.082718804510916,-8.71971852383321,-10.041341640576348,-7.373978936940721,-9.913622962685308,-21.23562248058584,-11.495059013270565,-38.98252783635221,-42.654601789457566,-23.26319339965468,-24.85045769886964,
skip-3_non-skip-2_dropout:False_reduction:True_MSE,-26.07204660646538,-6.515268378583168,-87.2800079331041,-7.328620824377396,-24.668845415289056,-25.85129451590754,-23.598268466735814,-7.542027434206127,-6.8305492027131605,-16.124615957522227,-6.541573827109355,-19.59498353270994,-14.60603447122546,-30.049987280248963,-10.448200440418365,-10.168491033883164,-24.30645291689117,-7.457524371769283,-14.29113472795643,-17.47234063641652,-44.11346724647375,-143.5012579878343,-508.5218446703216,-19.86139558426487,-57.39555758588997,-15.45229226139423,-276.7043339470053,-16.1851444261276,-88.9156713297022,-20.796055044674304,-33.619747422643,-21.354749732890227,-17.13916558990034,-598.7963011842768,-33.27264001561041,-770.6610613672112,-26.086879391591644,-10.114413704923978,-114.43139155958818,-74.20256175012608,
